code_postal,ville,population
13530,Trets,10678
60500,Chantilly,10652
63110,Beaumont,10650
84210,Pernes-les-Fontaines,10636
64400,Oloron-Sainte-Marie,10616
30130,Pont-Saint-Esprit,10600
62219,Longuenesse,10568
5100,Briançon,10561
13330,Pélissanne,10554
51430,Tinqueux,10552
64700,Urrugne,10543
94490,Ormesson-sur-Marne,10540
34980,Saint-Gély-du-Fesc,10537
84400,Apt,10536
6370,Mouans-Sartoux,10531
35410,Châteaugiron,10518
10300,Sainte-Savine,10515
62730,Marck,10494
70400,Héricourt,10478
60600,Clermont,10475
2600,Villers-Cotterêts,10454
59690,Vieux-Condé,10446
69170,Tarare,10428
26800,Portes-lès-Valence,10422
34750,Villeneuve-lès-Maguelone,10405
77400,Thorigny-sur-Marne,10405
78290,Croissy-sur-Seine,10399
76170,Port-Jérôme-sur-Seine,10387
31270,Villeneuve-Tolosane,10369
59460,Jeumont,10342
66330,Cabestany,10338
68310,Wittelsheim,10334
37520,Riche,10325
91140,Villebon-sur-Yvette,10322
11300,Limoux,10302
97660,Bandrele,10282
38230,Charvieu-Chavagneux,10280
6340,Trinité,10276
97270,Saint-Esprit,10270
63360,Gerzat,10258
50300,Avranches,10240
67170,Brumath,10238
68120,Pfastatt,10237
35135,Chantepie,10232
44119,Treillières,10230
1700,Miribel,10225
50500,Carentan-les-Marais,10220
35800,Dinard,10219
45380,Chapelle-Saint-Mesmin,10218
91430,Igny,10213
63170,Aubière,10211
62590,Oignies,10210
59282,Douchy-les-Mines,10207
97670,Ouangani,10203
